speaker,sex,age,res,edu,file,speech_rate,word,phone,previous,following,phone_start,phone_end,method,phone_start_suyuan,phone_start_sijia,diff,simple_phone,phone_category
ma_4426,m,31,Nanjing,18,Nanjing_ma_4426,5.817313794495134,移民,m,i2,i2,57.342489734233936,57.41661294959912,Human-Human,57.342489734233936,57.33474172209548,0.007748012138456772,m,nasal
ma_4426,m,31,Nanjing,18,Nanjing_ma_4426,5.817313794495134,移民,i2,m,n,57.41661294959912,57.546613665778054,Human-Human,57.41661294959912,57.42077161027585,0.004158660676729653,i,vowel
ma_4426,m,31,Nanjing,18,Nanjing_ma_4426,5.817313794495134,移民,n,i2,x,57.546613665778054,57.637402105329265,Human-Human,57.546613665778054,57.54089954433454,0.005714121443510578,n,nasal
ma_4426,m,31,Nanjing,18,Nanjing_ma_4426,5.817313794495134,现在,x,n,ia4,57.637402105329265,57.67783582237497,Human-Human,57.637402105329265,57.64123876898605,0.003836663656784367,x,fricative
ma_4426,m,31,Nanjing,18,Nanjing_ma_4426,5.817313794495134,现在,ia4,x,n,57.67783582237497,57.683537608172294,Human-Human,57.67783582237497,57.67500119085912,0.002834631515852948,ia,vowel
ma_4426,m,31,Nanjing,18,Nanjing_ma_4426,5.817313794495134,现在,n,ia4,z,57.683537608172294,57.73713439466712,Human-Human,57.683537608172294,57.70861071445616,0.0250731062838625,n,nasal
ma_4426,m,31,Nanjing,18,Nanjing_ma_4426,5.817313794495134,现在,z,n,ai4,57.73713439466712,57.771345109451055,Human-Human,57.73713439466712,57.74506980517111,0.007935410503989715,z,fricative
ma_4426,m,31,Nanjing,18,Nanjing_ma_4426,5.817313794495134,现在,ai4,z,k,57.771345109451055,57.91010770096881,Human-Human,57.771345109451055,57.7655910988326,0.005754010618453265,ai,vowel
ma_4426,m,31,Nanjing,18,Nanjing_ma_4426,5.817313794495134,卡,k,ai4,a3,57.91010770096881,57.93431800619803,Human-Human,57.91010770096881,57.8671812479159,0.042926453052906766,k,stop
ma_4426,m,31,Nanjing,18,Nanjing_ma_4426,5.817313794495134,卡,a3,k,d,57.93431800619803,58.02440622179572,Human-Human,57.93431800619803,57.98592831075655,0.05161030455851545,a,vowel
ma_4426,m,31,Nanjing,18,Nanjing_ma_4426,5.817313794495134,卡,d,a3,e5,58.02440622179572,58.06317836521751,Human-Human,58.02440622179572,58.03911847893307,0.014712257137347251,d,stop
