speaker,sex,age,res,edu,file,speech_rate,word,phone,previous,following,phone_start,phone_end
ma_4336,F,25,Canto,14,Canto_ma_4336,4.65064615411055,我,uo3,<SIL>,<SIL>,0.6469254541211307,0.7906938233234764
ma_4336,F,25,Canto,14,Canto_ma_4336,7.039365810081453,耶,ie1,<SIL>,uo3,39.21321391455757,39.38239629736722
ma_4336,F,25,Canto,14,Canto_ma_4336,6.564288983690956,随便,n,ia4,d,24.847913676204367,24.917288685869643
ma_4336,F,25,Canto,14,Canto_ma_4336,5.592533288367158,去,q,uo3,v4,16.647438795752567,16.83522987502234
ma_4336,F,25,Canto,14,Canto_ma_4336,5.427809267966177,搞不清,q,u4,i1,8.489402658673303,8.619404630077044
ma_4336,F,25,Canto,14,Canto_ma_4336,6.179052601898325,佳,j,i3,ia1,46.319396420228315,46.374360766164635
ma_4336,F,25,Canto,14,Canto_ma_4336,6.183541258460259,就,j,<SIL>,iu4,28.439158348278983,28.449765234046385
ma_4336,F,25,Canto,14,Canto_ma_4336,5.427809267966177,当然,a2,r,n,7.89098347884886,7.935771025252934
ma_4336,F,25,Canto,14,Canto_ma_4336,5.592533288367158,叫,iao4,j,uo3,16.316895322948582,16.44601724615692
ma_4336,F,25,Canto,14,Canto_ma_4336,6.564288983690956,样,ia4,e4,ng,24.452193045092926,24.486425434057843
ma_4336,F,25,Canto,14,Canto_ma_4336,5.946638717651713,我,uo3,ng,x,19.528167336910233,19.887135287285535
ma_4336,F,25,Canto,14,Canto_ma_4336,4.709312008482817,比,b,ng,i3,57.053934008142086,57.19945063317572
ma_4336,F,25,Canto,14,Canto_ma_4336,5.427809267966177,钱,n,ia2,l,7.419826781335887,7.489470843778112
ma_4336,F,25,Canto,14,Canto_ma_4336,4.709312008482817,这个,g,ei4,e4,57.45047894504317,57.457211648745954
ma_4336,F,25,Canto,14,Canto_ma_4336,6.564288983690956,总台,o3,z,ng,23.80166097882245,23.872172216907273
ma_4336,F,25,Canto,14,Canto_ma_4336,5.427809267966177,单据,n,a1,j,10.167320152603315,10.272910161759858
ma_4336,F,25,Canto,14,Canto_ma_4336,6.183541258460259,后来,l,ou4,ai2,31.069297109411952,31.073784616901097
ma_4336,F,25,Canto,14,Canto_ma_4336,4.65064615411055,为什么,m,n,e5,1.860132907898584,1.8939432473799274
ma_4336,F,25,Canto,14,Canto_ma_4336,6.179052601898325,不是,ii4,sh,t,49.01737650160641,49.046818525973784
ma_4336,F,25,Canto,14,Canto_ma_4336,7.039365810081453,就,iu4,j,j,39.99800903275578,40.08269497551118
ma_4336,F,25,Canto,14,Canto_ma_4336,6.0507664206963785,一个,g,i1,e4,35.515207080715655,35.53529808710748
ma_4336,F,25,Canto,14,Canto_ma_4336,6.0507664206963785,要,iao4,iu4,zh,34.956963887714615,35.07710394080392
ma_4336,F,25,Canto,14,Canto_ma_4336,6.183541258460259,像,x,iu4,ia4,28.672851363376118,28.782055040079552
ma_4336,F,25,Canto,14,Canto_ma_4336,6.0507664206963785,叫,iao4,j,l,36.528271851515605,36.64557569088761
ma_4336,F,25,Canto,14,Canto_ma_4336,5.592533288367158,当天,t,ng,ia1,14.508524157691424,14.640221405205027
ma_4336,F,25,Canto,14,Canto_ma_4336,5.946638717651713,了,e5,l,m,21.927421611254783,21.96033377794943
ma_4336,F,25,Canto,14,Canto_ma_4336,6.183541258460259,电话,ia4,d,n,31.71811433501141,31.7744189024134
ma_4336,F,25,Canto,14,Canto_ma_4336,4.709312008482817,说,sh,ii4,uo1,55.48890139087535,55.541450540640476
ma_4336,F,25,Canto,14,Canto_ma_4336,3.067330065444287,呃,e5,<SIL>,<SIL>,34.18948571591485,34.51550214670778
ma_4336,F,25,Canto,14,Canto_ma_4336,5.958184195126839,那天,t,ei4,ia1,3.593504786797446,3.7349780309669023
ma_4336,F,25,Canto,14,Canto_ma_4336,6.564288983690956,随便,uei2,s,b,24.662447419839616,24.72002918961909
ma_4336,F,25,Canto,14,Canto_ma_4336,4.709312008482817,只是,ii4,sh,sh,55.388241624482696,55.48890139087535
ma_4336,F,25,Canto,14,Canto_ma_4336,7.177837966664349,但是,ii4,sh,t,42.5144481323999,42.54902798640771
ma_4336,F,25,Canto,14,Canto_ma_4336,5.946638717651713,帮,a1,b,ng,19.235820285311956,19.376492285451295
ma_4336,F,25,Canto,14,Canto_ma_4336,7.177837966664349,们,n,e5,l,41.17575374080917,41.187229562657784
ma_4336,F,25,Canto,14,Canto_ma_4336,6.183541258460259,一直,i1,iu4,zh,31.29877973899223,31.412917273808375
